radtrans_id,name,molar_mass,H04,G03,H12,H16,N_iso,isotopes
33,GeH4,76.661764,45,26,-99,-99,1,[411]
34,C3H8,44.095748,42,28,-99,-99,1,[211]
35,HCOOH,46.025432,32,37,32,32,1,[261]
36,H2S,34.080682,31,36,31,31,3,"[121, 131, 141]"
37,COF2,66.006951,29,38,29,29,2,"[269, 369]"
38,SF6,146.055219,30,39,30,30,1,[29]
39,H2,2.015882,47,43,45,45,2,"[11, 12]"
40,He,4.002602,-99,-99,-99,-99,1,[4]
41,AsH3,77.945418,46,45,-99,-99,1,[181]
42,C3H4,40.063984,41,40,-99,-99,1,[211]
43,ClONO2,97.457818,35,42,35,35,2,"[5646, 7646]"
44,HO2,33.006751,33,41,33,33,1,[166]
45,O,15.999405,34,46,34,34,1,[6]
46,NO+,30.005559,36,47,36,36,1,[46]
47,CH3OH,32.041909,39,44,39,39,1,[2161]
48,H,1.007941,-99,-99,-99,-99,1,[1]
49,C6H6,78.112086,49,49,-99,-99,1,[221]
50,CH3CN,41.052006,50,50,41,41,1,[2141]
51,CH2NH,29.041266,51,51,-99,-99,4,"[241, 341, 251, 242]"
52,C2H3CN,53.062746,52,52,-99,-99,6,"[241, 441, 541, 641, 242, 251]"
53,HCP,43.992443,53,53,-99,-99,1,[123]
54,CS,44.07554,54,54,46,46,4,"[22, 24, 32, 23]"
55,HC5N,75.068344,55,55,-99,-99,1,[241]
56,HC7N,99.089824,56,56,-99,-99,1,[241]
57,C2H5CN,55.078628,57,57,-99,-99,5,"[241, 441, 541, 641, 251]"
58,CH3NH2,31.057148,58,58,-99,-99,1,[124]
59,HNC,27.025384,59,59,-99,-99,4,"[142, 143, 152, 242]"
60,Na,22.989769,60,60,-99,-99,1,[11]
61,K,39.0983,61,61,-99,-99,1,[19]
62,TiO,63.866405,62,62,-99,-99,1,[486]
63,VO,66.940905,-99,-99,-99,-99,1,[586]
64,CH2CCH2,40.063984,-99,-99,-99,-99,1,[211]
65,C4N2,76.056366,-99,-99,-99,-99,1,[224]
66,C5H5N,79.100108,-99,-99,-99,-99,1,[241]
67,C5H4N2,92.09887,-99,-99,-99,-99,1,[241]
68,C7H8,92.138708,-99,-99,-99,-99,1,[221]
69,C8H6,102.133566,-99,-99,-99,-99,1,[221]
70,C5H5CN,91.110848,-99,-99,-99,-99,1,[241]
71,HOBr,96.910846,-99,-99,37,37,2,"[169, 161]"
72,CH3Br,94.938063,-99,-99,40,40,2,"[219, 211]"
73,CF4,88.004353,-99,-99,42,42,1,[29]
74,SO3,80.063015,-99,-99,47,47,1,[26]
75,Ne,20.1797,-99,-99,-99,-99,3,"[20, 22, 21]"
76,Ar,39.948,-99,-99,-99,-99,3,"[40, 36, 38]"
77,COCl2,98.915945,-99,-99,-99,49,2,"[2655, 2657]"
78,SO,48.064205,-99,-99,-99,-99,1,[3616]
79,H2SO4,98.078302,-99,-99,-99,-99,1,[13616]
80,e-,0.000549,-99,-99,-99,-99,1,[111]
81,H3+,3.023274,1,-99,-99,-99,-99,[111]
