nu,sw,nu-err,sw-err,nu-ref,sw-ref
2777.980508,2.555e-27,1,6,752,752
2777.990482,2.755e-26,1,6,752,752
2777.992186,2.952e-26,3,3,247,744
2777.992981,3.171e-28,3,3,245,242
2777.997561,4.975e-25,4,6,752,752
2777.999471,1.396e-28,2,3,247,744
2778.005187,3.675e-26,3,3,247,744
2778.006567,4.248e-27,3,3,744,744
2778.014441,2.063e-28,3,3,245,242
2778.027365,1.496e-27,3,3,247,744
2778.034891,1.637e-23,4,4,247,744
2778.040252,6.342e-29,3,3,245,242
2778.04095,6.342e-29,3,3,245,242
2778.04393,2.292e-24,3,3,239,257
2778.050621,9.612e-23,4,5,744,744
2778.054853,4.501e-28,3,3,245,242
2778.058093,1.583e-28,2,3,247,744
2778.059609,3.202e-29,2,3,247,744
2778.072421,7.618e-23,4,5,744,744
2778.075518,5.355e-25,4,6,752,752
2778.088086,8.33e-25,3,3,239,257
2778.09672,1.196e-23,3,4,744,744
2778.100656,6.242e-24,4,4,744,744
2778.103181,2.819e-26,1,6,752,752
2778.115182,4.171e-29,1,4,752,752
2778.115686,3.3e-29,3,3,744,744
2778.116406,3.159e-25,5,3,245,242
2778.138426,1.238e-28,2,3,247,744
2778.142716,3.444e-24,4,4,247,744
2778.143309,5.549e-28,1,6,752,752
2778.154978,1.587e-26,1,6,752,752
2778.167742,4.986e-29,1,5,752,752
2778.176156,5.49e-24,4,4,744,744
2778.182344,1.392e-27,3,3,245,242
2778.185229,1.145e-28,3,3,245,242
2778.196064,4.889e-28,3,3,245,254
2778.198472,1.859e-26,3,3,744,744
2778.213502,3.884e-27,3,3,744,744
2778.214278,6.342e-29,3,3,245,242
2778.221085,1.411e-26,1,6,752,752
2778.222762,2.861e-26,1,6,752,752
2778.247086,9.813e-28,3,3,247,744
2778.256065,3.965e-27,3,3,744,744
2778.284298,4.839e-27,3,3,247,744
2778.285205,1.084e-26,3,3,247,744
2778.28545,2.364e-28,1,6,752,752
2778.28907,4.112e-28,3,3,247,744
2778.305839,3.607e-29,1,5,752,752
2778.322816,4.821e-28,3,3,245,242
2778.351166,7.989e-27,3,3,744,744
2778.362533,8.152e-25,3,6,752,752
2778.38606,6.134e-27,3,3,744,744
2778.395327,1.484e-27,3,3,245,242
2778.398711,1.071e-28,3,3,245,242
2778.399665,8.251e-29,3,3,245,242
2778.404371,2.258e-25,4,6,752,752
2778.409563,2.534e-27,3,3,744,744
2778.418099,2.915e-29,2,3,247,744
2778.418196,2.969e-25,3,3,239,257
2778.432899,8.99e-29,3,3,245,242
2778.434872,2.801e-26,3,3,744,744
2778.435059,5.566e-28,3,3,245,242
2778.445883,2.296e-24,3,3,239,257
2778.459496,3.442e-27,3,3,247,744
2778.475471,6.436e-25,4,6,752,752
2778.482479,5.116e-27,1,6,752,752
2778.489729,1.275e-27,3,3,245,242
2778.496584,3.229e-29,2,3,247,744
2778.50257,3.079e-27,1,6,752,752
2778.503373,2.81e-25,3,3,239,257
2778.507492,2.82e-28,3,3,245,242
2778.512148,2.241e-27,3,3,245,254
2778.513616,2.808e-28,3,3,245,242
2778.518233,2.806e-25,3,3,239,257
2778.520832,9.488e-29,1,5,752,752
2778.525675,3.87e-25,3,3,239,257
2778.532499,8.682e-27,3,3,245,242
2778.549117,3.455e-27,3,3,247,744
2778.555944,1.258e-29,1,3,744,744
2778.558744,5.534e-26,3,3,247,744
2778.60035,1.429e-28,3,3,245,242
2778.601305,1.422e-28,3,3,245,242
2778.606601,1.854e-28,1,5,752,752
2778.608185,1.589e-27,3,3,245,254
2778.608982,2.899e-28,3,3,744,744
2778.612972,2.798e-25,3,3,239,257
2778.615867,1.442e-26,3,3,247,744
2778.630263,9.287e-25,3,3,239,257
2778.638889,8.623e-27,3,3,247,744
2778.64248,5.18e-22,3,5,744,744
2778.64528,9.624e-27,1,6,752,752
2778.648464,5.738e-27,3,3,247,744
2778.656763,1.017e-23,3,4,744,744
2778.668574,1.197e-28,2,3,247,744
2778.668688,3.048e-26,3,3,247,744
2778.681419,1.576e-28,3,3,245,254
2778.695181,1.721e-24,3,6,752,752
2778.705668,1.144e-25,3,6,752,752
2778.70582,1.06e-24,3,3,239,257
2778.707377,2.014e-27,3,3,245,242
2778.723055,2.637e-27,1,6,752,752
2778.723347,8.659e-27,1,6,752,752
2778.72608,7.528e-29,1,4,752,752
2778.729894,4.629e-27,3,3,247,744
2778.759086,1.548e-29,2,3,247,744
2778.767543,3.735e-25,3,3,239,257
2778.768758,1.113e-28,2,3,247,744
2778.771268,3.424e-25,5,3,245,242
2778.774724,2.364e-25,3,3,239,257
2778.777176,1.503e-24,3,3,239,257
2778.784833,8.805e-27,3,3,245,242
2778.791701,2.79e-26,3,3,247,744
2778.8033,3.543e-28,1,6,752,752
2778.821956,1.059e-27,3,3,245,242
2778.846058,2.768e-27,3,6,752,752
2778.850468,5.079e-26,3,6,752,752
2778.857405,1.399e-29,2,3,247,744
2778.86001,4.265e-25,3,3,239,257
2778.862778,1.678e-26,1,6,752,752
2778.86357,2.677e-27,3,6,752,752
2778.875583,3.842e-27,1,6,752,752
2778.880778,1.488e-29,1,5,752,752
2778.885379,4.222e-28,3,3,247,744
2778.893163,1.232e-25,3,3,744,744
2778.897763,6.108e-28,3,3,245,242
2778.902781,6.081e-29,2,3,247,744
2778.905054,1.409e-26,1,6,752,752
2778.918157,1.671e-28,2,3,247,744
2778.923624,2.491e-25,3,3,239,257
2778.935157,4.132e-26,3,3,247,744
2778.938801,1.73e-28,3,3,245,242
2778.965082,9.975e-28,3,3,245,242
2778.96866,1.239e-27,3,3,744,744
2778.970661,6.051e-27,3,3,744,744
2778.979352,2.897e-26,3,3,247,744
2778.982266,5.263e-26,3,3,247,744
2778.993465,1.642e-27,3,3,744,744
2779.002845,1.22e-26,3,6,752,752
2779.012601,1.847e-28,3,3,245,242
2779.019567,6.952e-27,3,3,744,744
2779.025945,3.179e-28,1,6,752,752
2779.026082,1.347e-27,1,6,752,752
2779.032368,1.064e-28,3,3,744,744
2779.032449,8.148e-26,3,3,247,744
2779.047965,1.921e-28,3,3,245,242
2779.048196,4.781e-25,4,3,247,744
2779.056914,1.619e-28,3,3,245,242
2779.062231,2.152e-24,3,3,239,257
2779.07646,1.247e-24,3,4,744,744
2779.092846,1.989e-29,1,4,752,752
2779.096483,8.888e-25,3,3,239,257
2779.097273,5.341e-25,3,3,239,257
2779.103458,3.83e-27,3,3,247,744
2779.111516,2.005e-25,3,3,239,257
2779.115231,2.797e-25,4,3,247,744
2779.119014,1.506e-28,1,4,752,752
2779.121293,1.358e-25,4,6,752,752
2779.133319,7.254e-25,3,3,239,257
2779.134302,1.543e-27,1,6,752,752
