1,H2O,1,1,1,1,7,161,181,171,162,182,172,262
126,SiH4,-99,-99,-99,-99,1,2811
127,SiO,-99,-99,-99,-99,1,286
128,SiO2,-99,-99,-99,-99,1,2866
129,SiS,-99,-99,-99,-99,1,282
130,TiH,-99,-99,-99,-99,1,481
131,H3O+,-99,-99,-99,-99,1,1116
132,NaOH,-99,-99,-99,-99,1,2361
133,KOH,-99,-99,-99,-99,1,3961
134,YO,-99,-99,-99,-99,1,896
135,SO,-99,-99,-99,-99,1,326
136,LiOH,-99,-99,-99,-99,1,761
137,CaOH,-99,-99,-99,-99,1,4061
138,ZrO,-99,-99,-99,-99,1,916
